id, cpe, type, vendor, product, version, update, edition, language
"1","cpe:/a:andy_armstrong:cgi.pm:4.38","Application","andy_armstrong","cgi.pm","4.38",,,
"2","cpe:/a:apache:http_server:2.4.29","Application","apache","http_server","2.4.29",,,
"3","cpe:/a:gnu:bash:4.4.20","Application","gnu","bash","4.4.20",,,
"4","cpe:/a:gnu:gzip:1.2.4","Application","gnu","gzip","1.2.4",,,
"5","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"6","cpe:/a:nongnu:dmidecode:3.1","Application","nongnu","dmidecode","3.1",,,
"7","cpe:/a:openbsd:openssh:7.6p1","Application","openbsd","openssh","7.6p1",,,
"8","cpe:/a:openssl:openssl:1.1.1","Application","openssl","openssl","1.1.1",,,
"9","cpe:/a:perl:archive_tar:2.24","Application","perl","archive_tar","2.24",,,
"10","cpe:/a:perl:perl:5.26.1","Application","perl","perl","5.26.1",,,
"11","cpe:/a:php:php:7.2.24","Application","php","php","7.2.24",,,
"12","cpe:/a:python:python:2.7.17","Application","python","python","2.7.17",,,
"13","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"14","cpe:/a:sudo_project:sudo:1.8.21:p2","Application","sudo_project","sudo","1.8.21","p2",,
"15","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"16","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.21:p2","Application","sudo_project","sudoers_i/o_plugin","1.8.21","p2",,
"17","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.21:p2","Application","sudo_project","sudoers_policy_plugin","1.8.21","p2",,
"18","cpe:/a:tcpdump:libpcap:1.8.1","Application","tcpdump","libpcap","1.8.1",,,
"19","cpe:/a:tcpdump:tcpdump:4.9.3","Application","tcpdump","tcpdump","4.9.3",,,
"20","cpe:/o:canonical:ubuntu_linux:18.04:-:lts","OS","canonical","ubuntu_linux","18.04","-","lts",
"21","cpe:/a:gnu:bash:5.0.17","Application","gnu","bash","5.0.17",,,
"22","cpe:/a:gnu:gzip:1.10","Application","gnu","gzip","1.10",,,
"23","cpe:/a:io-socket-ssl:io-socket-ssl:2.067","Application","io-socket-ssl","io-socket-ssl","2.067",,,
"24","cpe:/a:nongnu:dmidecode:3.2","Application","nongnu","dmidecode","3.2",,,
"25","cpe:/a:openbsd:openssh:8.2p1","Application","openbsd","openssh","8.2p1",,,
"26","cpe:/a:openssl:openssl:1.1.1f","Application","openssl","openssl","1.1.1f",,,
"27","cpe:/a:perl:archive_tar:2.32","Application","perl","archive_tar","2.32",,,
"28","cpe:/a:perl:perl:5.30.0","Application","perl","perl","5.30.0",,,
"29","cpe:/a:python:python:2.7.18","Application","python","python","2.7.18",,,
"30","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"31","cpe:/a:sudo_project:sudo:1.8.31","Application","sudo_project","sudo","1.8.31",,,
"32","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"33","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.31","Application","sudo_project","sudoers_i/o_plugin","1.8.31",,,
"34","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.31","Application","sudo_project","sudoers_policy_plugin","1.8.31",,,
"35","cpe:/o:canonical:ubuntu_linux:20.04:-:lts","OS","canonical","ubuntu_linux","20.04","-","lts",
"36","cpe:/a:apache:http_server:2.4.25","Application","apache","http_server","2.4.25",,,
"37","cpe:/a:artifex:ghostscript:9.26","Application","artifex","ghostscript","9.26",,,
"38","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"39","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"40","cpe:/a:imagemagick:imagemagick:6.9.7.4","Application","imagemagick","imagemagick","6.9.7.4",,,
"41","cpe:/a:io-socket-ssl:io-socket-ssl:2.044","Application","io-socket-ssl","io-socket-ssl","2.044",,,
"42","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"43","cpe:/a:mutt:mutt:20170113","Application","mutt","mutt","20170113",,,
"44","cpe:/a:nongnu:dmidecode:3.0","Application","nongnu","dmidecode","3.0",,,
"45","cpe:/a:openbsd:openssh:7.4p1","Application","openbsd","openssh","7.4p1",,,
"46","cpe:/a:openssl:openssl:1.1.0l","Application","openssl","openssl","1.1.0l",,,
"47","cpe:/a:perl:perl:5.24.1","Application","perl","perl","5.24.1",,,
"48","cpe:/a:postgresql:postgresql","Application","postgresql","postgresql",,,,
"49","cpe:/a:python:python:2.7.13","Application","python","python","2.7.13",,,
"50","cpe:/a:rafael_garcia-suarez:safe:2.39","Application","rafael_garcia-suarez","safe","2.39",,,
"51","cpe:/a:tcpdump:libpcap:1.8.1","Application","tcpdump","libpcap","1.8.1",,,
"52","cpe:/a:tcpdump:tcpdump:4.9.3","Application","tcpdump","tcpdump","4.9.3",,,
"53","cpe:/o:debian:debian_linux:9.13","OS","debian","debian_linux","9.13",,,
"54","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"55","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"56","cpe:/a:graphicsmagick:graphicsmagick:1.3.35","Application","graphicsmagick","graphicsmagick","1.3.35",,,
"57","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"58","cpe:/a:nginx:nginx","Application","nginx","nginx",,,,
"59","cpe:/a:nongnu:dmidecode:3.0","Application","nongnu","dmidecode","3.0",,,
"60","cpe:/a:openbsd:openssh:7.4p1","Application","openbsd","openssh","7.4p1",,,
"61","cpe:/a:openssl:openssl:1.1.0l","Application","openssl","openssl","1.1.0l",,,
"62","cpe:/a:perl:perl:5.24.1","Application","perl","perl","5.24.1",,,
"63","cpe:/a:postfix:postfix","Application","postfix","postfix",,,,
"64","cpe:/a:postgresql:postgresql:11.10","Application","postgresql","postgresql","11.10",,,
"65","cpe:/a:python:python:2.7.13","Application","python","python","2.7.13",,,
"66","cpe:/a:rafael_garcia-suarez:safe:2.39","Application","rafael_garcia-suarez","safe","2.39",,,
"67","cpe:/a:ruby-lang:ruby:2.7.2.137","Application","ruby-lang","ruby","2.7.2.137",,,
"68","cpe:/o:debian:debian_linux:9.13","OS","debian","debian_linux","9.13",,,
"69","cpe:/a:apache:http_server:2.4.25","Application","apache","http_server","2.4.25",,,
"70","cpe:/a:artifex:ghostscript:9.26","Application","artifex","ghostscript","9.26",,,
"71","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"72","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"73","cpe:/a:imagemagick:imagemagick:6.9.7.4","Application","imagemagick","imagemagick","6.9.7.4",,,
"74","cpe:/a:io-socket-ssl:io-socket-ssl:2.044","Application","io-socket-ssl","io-socket-ssl","2.044",,,
"75","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"76","cpe:/a:mutt:mutt:20170113","Application","mutt","mutt","20170113",,,
"77","cpe:/a:nginx:nginx:1.19.6","Application","nginx","nginx","1.19.6",,,
"78","cpe:/a:nongnu:dmidecode:3.0","Application","nongnu","dmidecode","3.0",,,
"79","cpe:/a:openbsd:openssh:7.4p1","Application","openbsd","openssh","7.4p1",,,
"80","cpe:/a:openssl:openssl:1.1.0l","Application","openssl","openssl","1.1.0l",,,
"81","cpe:/a:perl:perl:5.24.1","Application","perl","perl","5.24.1",,,
"82","cpe:/a:postgresql:postgresql","Application","postgresql","postgresql",,,,
"83","cpe:/a:python:python:2.7.13","Application","python","python","2.7.13",,,
"84","cpe:/a:rafael_garcia-suarez:safe:2.39","Application","rafael_garcia-suarez","safe","2.39",,,
"85","cpe:/a:sudo_project:sudo:1.8.19:p1","Application","sudo_project","sudo","1.8.19","p1",,
"86","cpe:/a:sudo_project:sudoers_file_grammar:45","Application","sudo_project","sudoers_file_grammar","45",,,
"87","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.19:p1","Application","sudo_project","sudoers_i/o_plugin","1.8.19","p1",,
"88","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.19:p1","Application","sudo_project","sudoers_policy_plugin","1.8.19","p1",,
"89","cpe:/o:debian:debian_linux:9.6","OS","debian","debian_linux","9.6",,,
"90","cpe:/a:elastic:elasticsearch:7.10.0","Application","elastic","elasticsearch","7.10.0",,,
"91","cpe:/a:elastic:kibana:7.10.0","Application","elastic","kibana","7.10.0",,,
"92","cpe:/a:elastic:logstash:7.10.0","Application","elastic","logstash","7.10.0",,,
"93","cpe:/a:gnu:bash:5.0.17","Application","gnu","bash","5.0.17",,,
"94","cpe:/a:gnu:gzip:1.10","Application","gnu","gzip","1.10",,,
"95","cpe:/a:nongnu:dmidecode:3.2","Application","nongnu","dmidecode","3.2",,,
"96","cpe:/a:openbsd:openssh:8.2p1","Application","openbsd","openssh","8.2p1",,,
"97","cpe:/a:openssl:openssl:1.1.1f","Application","openssl","openssl","1.1.1f",,,
"98","cpe:/a:perl:archive_tar:2.32","Application","perl","archive_tar","2.32",,,
"99","cpe:/a:perl:perl:5.30.0","Application","perl","perl","5.30.0",,,
"100","cpe:/a:python:python:3.8.5","Application","python","python","3.8.5",,,
"101","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"102","cpe:/a:sudo_project:sudo:1.8.31","Application","sudo_project","sudo","1.8.31",,,
"103","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"104","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.31","Application","sudo_project","sudoers_i/o_plugin","1.8.31",,,
"105","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.31","Application","sudo_project","sudoers_policy_plugin","1.8.31",,,
"106","cpe:/o:canonical:ubuntu_linux:20.04:-:lts","OS","canonical","ubuntu_linux","20.04","-","lts",
"107","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"108","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"109","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"110","cpe:/a:mutt:mutt:20170113","Application","mutt","mutt","20170113",,,
"111","cpe:/a:nongnu:dmidecode:3.0","Application","nongnu","dmidecode","3.0",,,
"112","cpe:/a:openbsd:openssh:7.4p1","Application","openbsd","openssh","7.4p1",,,
"113","cpe:/a:openssl:openssl:1.1.0l","Application","openssl","openssl","1.1.0l",,,
"114","cpe:/a:perl:perl:5.24.1","Application","perl","perl","5.24.1",,,
"115","cpe:/a:python:python:2.7.13","Application","python","python","2.7.13",,,
"116","cpe:/a:rafael_garcia-suarez:safe:2.39","Application","rafael_garcia-suarez","safe","2.39",,,
"117","cpe:/a:tcpdump:libpcap:1.8.1","Application","tcpdump","libpcap","1.8.1",,,
"118","cpe:/a:tcpdump:tcpdump:4.9.3","Application","tcpdump","tcpdump","4.9.3",,,
"119","cpe:/o:debian:debian_linux:9.13","OS","debian","debian_linux","9.13",,,
"120","cpe:/a:openbsd:openssh:7.9p1","Application","openbsd","openssh","7.9p1",,,
"121","cpe:/a:proxmox:virtual_environment:6.2-15","Application","proxmox","virtual_environment","6.2-15",,,
"122","cpe:/o:debian:debian_linux:10","OS","debian","debian_linux","10",,,
"123","cpe:/a:gnu:bash:5.0.3","Application","gnu","bash","5.0.3",,,
"124","cpe:/a:gnu:gzip:1.9","Application","gnu","gzip","1.9",,,
"125","cpe:/a:isc:dhcp:4.4.1","Application","isc","dhcp","4.4.1",,,
"126","cpe:/a:nongnu:dmidecode:3.2","Application","nongnu","dmidecode","3.2",,,
"127","cpe:/a:openbsd:openssh:7.9p1","Application","openbsd","openssh","7.9p1",,,
"128","cpe:/a:openssl:openssl:1.1.1d","Application","openssl","openssl","1.1.1d",,,
"129","cpe:/a:perl:archive_tar:2.30","Application","perl","archive_tar","2.30",,,
"130","cpe:/a:perl:perl:5.28.1","Application","perl","perl","5.28.1",,,
"131","cpe:/a:python:python:2.7.16","Application","python","python","2.7.16",,,
"132","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"133","cpe:/a:sudo_project:sudo:1.8.27","Application","sudo_project","sudo","1.8.27",,,
"134","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"135","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.27","Application","sudo_project","sudoers_i/o_plugin","1.8.27",,,
"136","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.27","Application","sudo_project","sudoers_policy_plugin","1.8.27",,,
"137","cpe:/o:debian:debian_linux:10.6","OS","debian","debian_linux","10.6",,,
"138","cpe:/a:apache:http_server:2.4.41","Application","apache","http_server","2.4.41",,,
"139","cpe:/a:gnu:bash:5.0.3","Application","gnu","bash","5.0.3",,,
"140","cpe:/a:gnu:gzip:1.9","Application","gnu","gzip","1.9",,,
"141","cpe:/a:io-socket-ssl:io-socket-ssl:2.059","Application","io-socket-ssl","io-socket-ssl","2.059",,,
"142","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"143","cpe:/a:mozilla:firefox:60.2.0","Application","mozilla","firefox","60.2.0",,,
"144","cpe:/a:nessus:nessus:18.13.10","Application","nessus","nessus","18.13.10",,,
"145","cpe:/a:nongnu:dmidecode:3.2","Application","nongnu","dmidecode","3.2",,,
"146","cpe:/a:openbsd:openssh:7.9p1","Application","openbsd","openssh","7.9p1",,,
"147","cpe:/a:openssl:openssl:1.1.1d","Application","openssl","openssl","1.1.1d",,,
"148","cpe:/a:oracle:openjdk:11.0.9:update_1","Application","oracle","openjdk","11.0.9","update_1",,
"149","cpe:/a:perl:archive_tar:2.32","Application","perl","archive_tar","2.32",,,
"150","cpe:/a:perl:perl:5.26.2","Application","perl","perl","5.26.2",,,
"151","cpe:/a:php:php:7.3.12","Application","php","php","7.3.12",,,
"152","cpe:/a:python:python:2.7.17","Application","python","python","2.7.17",,,
"153","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"154","cpe:/a:strongswan:strongswan:5.8.2","Application","strongswan","strongswan","5.8.2",,,
"155","cpe:/a:sudo_project:sudo:1.8.29","Application","sudo_project","sudo","1.8.29",,,
"156","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"157","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.29","Application","sudo_project","sudoers_i/o_plugin","1.8.29",,,
"158","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.29","Application","sudo_project","sudoers_policy_plugin","1.8.29",,,
"159","cpe:/a:tcpdump:libpcap:1.9.1","Application","tcpdump","libpcap","1.9.1",,,
"160","cpe:/a:tcpdump:tcpdump:4.9.3","Application","tcpdump","tcpdump","4.9.3",,,
"161","cpe:/a:tenable:web_ui:8.14.0","Application","tenable","web_ui","8.14.0",,,
"162","cpe:/a:thekelleys:dnsmasq:2.80","Application","thekelleys","dnsmasq","2.80",,,
"163","cpe:/o:debian:debian_linux:10","OS","debian","debian_linux","10",,,
"164","cpe:/a:adobe:flash_player_internet_explorer:32.0.0.445","Application","adobe","flash_player_internet_explorer","32.0.0.445",,,
"165","cpe:/a:microsoft:.net_framework:4.5","Application","microsoft",".net_framework","4.5",,,
"166","cpe:/a:microsoft:data_access_components","Application","microsoft","data_access_components",,,,
"167","cpe:/a:microsoft:directx:9.0c","Application","microsoft","directx","9.0c",,,
"168","cpe:/a:microsoft:ie","Application","microsoft","ie",,,,
"169","cpe:/a:microsoft:internet_information_services:10.0","Application","microsoft","internet_information_services","10.0",,,
"170","cpe:/a:microsoft:rdp:10.0.17763.1490","Application","microsoft","rdp","10.0.17763.1490",,,
"171","cpe:/a:microsoft:windows_media_player:12","Application","microsoft","windows_media_player","12",,,
"172","cpe:/a:microsoft:windows_nt_helper_components","Application","microsoft","windows_nt_helper_components",,,,
"173","cpe:/a:microsoft:xml_core_services:3.0","Application","microsoft","xml_core_services","3.0",,,
"174","cpe:/a:mozilla:firefox:x64:81.0","Application","mozilla","firefox","x64","81.0",,
"175","cpe:/o:microsoft:windows_server_2019:1809::standard_x64","OS","microsoft","windows_server_2019","1809",,"standard_x64",
"176","cpe:/a:andy_armstrong:cgi.pm:4.38","Application","andy_armstrong","cgi.pm","4.38",,,
"177","cpe:/a:apache:http_server:2.4.29","Application","apache","http_server","2.4.29",,,
"178","cpe:/a:gnu:bash:4.4.20","Application","gnu","bash","4.4.20",,,
"179","cpe:/a:gnu:gzip:1.2.4","Application","gnu","gzip","1.2.4",,,
"180","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"181","cpe:/a:nongnu:dmidecode:3.1","Application","nongnu","dmidecode","3.1",,,
"182","cpe:/a:openbsd:openssh:7.6p1","Application","openbsd","openssh","7.6p1",,,
"183","cpe:/a:openssl:openssl:1.1.1","Application","openssl","openssl","1.1.1",,,
"184","cpe:/a:perl:archive_tar:2.24","Application","perl","archive_tar","2.24",,,
"185","cpe:/a:perl:perl:5.26.1","Application","perl","perl","5.26.1",,,
"186","cpe:/a:php:php:7.2.24","Application","php","php","7.2.24",,,
"187","cpe:/a:python:python:2.7.17","Application","python","python","2.7.17",,,
"188","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"189","cpe:/a:sudo_project:sudo:1.8.21:p2","Application","sudo_project","sudo","1.8.21","p2",,
"190","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"191","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.21:p2","Application","sudo_project","sudoers_i/o_plugin","1.8.21","p2",,
"192","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.21:p2","Application","sudo_project","sudoers_policy_plugin","1.8.21","p2",,
"193","cpe:/a:tcpdump:libpcap:1.8.1","Application","tcpdump","libpcap","1.8.1",,,
"194","cpe:/a:tcpdump:tcpdump:4.9.3","Application","tcpdump","tcpdump","4.9.3",,,
"195","cpe:/o:canonical:ubuntu_linux:18.04:-:lts","OS","canonical","ubuntu_linux","18.04","-","lts",
"196","cpe:/a:gnu:bash:5.0.17","Application","gnu","bash","5.0.17",,,
"197","cpe:/a:gnu:gzip:1.10","Application","gnu","gzip","1.10",,,
"198","cpe:/a:io-socket-ssl:io-socket-ssl:2.067","Application","io-socket-ssl","io-socket-ssl","2.067",,,
"199","cpe:/a:nongnu:dmidecode:3.2","Application","nongnu","dmidecode","3.2",,,
"200","cpe:/a:openbsd:openssh:8.2p1","Application","openbsd","openssh","8.2p1",,,
"201","cpe:/a:openssl:openssl:1.1.1f","Application","openssl","openssl","1.1.1f",,,
"202","cpe:/a:perl:archive_tar:2.32","Application","perl","archive_tar","2.32",,,
"203","cpe:/a:perl:perl:5.30.0","Application","perl","perl","5.30.0",,,
"204","cpe:/a:python:python:2.7.18","Application","python","python","2.7.18",,,
"205","cpe:/a:rafael_garcia-suarez:safe:2.40","Application","rafael_garcia-suarez","safe","2.40",,,
"206","cpe:/a:sudo_project:sudo:1.8.31","Application","sudo_project","sudo","1.8.31",,,
"207","cpe:/a:sudo_project:sudoers_file_grammar:46","Application","sudo_project","sudoers_file_grammar","46",,,
"208","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.31","Application","sudo_project","sudoers_i/o_plugin","1.8.31",,,
"209","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.31","Application","sudo_project","sudoers_policy_plugin","1.8.31",,,
"210","cpe:/o:canonical:ubuntu_linux:20.04:-:lts","OS","canonical","ubuntu_linux","20.04","-","lts",
"211","cpe:/a:apache:http_server:2.4.25","Application","apache","http_server","2.4.25",,,
"212","cpe:/a:artifex:ghostscript:9.26","Application","artifex","ghostscript","9.26",,,
"213","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"214","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"215","cpe:/a:imagemagick:imagemagick:6.9.7.4","Application","imagemagick","imagemagick","6.9.7.4",,,
"216","cpe:/a:io-socket-ssl:io-socket-ssl:2.044","Application","io-socket-ssl","io-socket-ssl","2.044",,,
"217","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"218","cpe:/a:mutt:mutt:20170113","Application","mutt","mutt","20170113",,,
"219","cpe:/a:nongnu:dmidecode:3.0","Application","nongnu","dmidecode","3.0",,,
"220","cpe:/a:openbsd:openssh:7.4p1","Application","openbsd","openssh","7.4p1",,,
"221","cpe:/a:openssl:openssl:1.1.0l","Application","openssl","openssl","1.1.0l",,,
"222","cpe:/a:perl:perl:5.24.1","Application","perl","perl","5.24.1",,,
"223","cpe:/a:postgresql:postgresql","Application","postgresql","postgresql",,,,
"224","cpe:/a:python:python:2.7.13","Application","python","python","2.7.13",,,
"225","cpe:/a:rafael_garcia-suarez:safe:2.39","Application","rafael_garcia-suarez","safe","2.39",,,
"226","cpe:/a:tcpdump:libpcap:1.8.1","Application","tcpdump","libpcap","1.8.1",,,
"227","cpe:/a:tcpdump:tcpdump:4.9.3","Application","tcpdump","tcpdump","4.9.3",,,
"228","cpe:/o:debian:debian_linux:9.13","OS","debian","debian_linux","9.13",,,
"229","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"230","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"231","cpe:/a:graphicsmagick:graphicsmagick:1.3.35","Application","graphicsmagick","graphicsmagick","1.3.35",,,
"232","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"233","cpe:/a:nginx:nginx","Application","nginx","nginx",,,,
"234","cpe:/a:nongnu:dmidecode:3.0","Application","nongnu","dmidecode","3.0",,,
"235","cpe:/a:openbsd:openssh:7.4p1","Application","openbsd","openssh","7.4p1",,,
"236","cpe:/a:openssl:openssl:1.1.0l","Application","openssl","openssl","1.1.0l",,,
"237","cpe:/a:perl:perl:5.24.1","Application","perl","perl","5.24.1",,,
"238","cpe:/a:postfix:postfix","Application","postfix","postfix",,,,
"239","cpe:/a:postgresql:postgresql:11.10","Application","postgresql","postgresql","11.10",,,
"240","cpe:/a:python:python:2.7.13","Application","python","python","2.7.13",,,
"241","cpe:/a:rafael_garcia-suarez:safe:2.39","Application","rafael_garcia-suarez","safe","2.39",,,
"242","cpe:/a:ruby-lang:ruby:2.7.2.137","Application","ruby-lang","ruby","2.7.2.137",,,
"243","cpe:/o:debian:debian_linux:9.13","OS","debian","debian_linux","9.13",,,
"244","cpe:/a:apache:http_server:2.4.25","Application","apache","http_server","2.4.25",,,
"245","cpe:/a:artifex:ghostscript:9.26","Application","artifex","ghostscript","9.26",,,
"246","cpe:/a:gnu:bash:4.4.12","Application","gnu","bash","4.4.12",,,
"247","cpe:/a:gnu:gzip:1.6","Application","gnu","gzip","1.6",,,
"248","cpe:/a:imagemagick:imagemagick:6.9.7.4","Application","imagemagick","imagemagick","6.9.7.4",,,
"249","cpe:/a:io-socket-ssl:io-socket-ssl:2.044","Application","io-socket-ssl","io-socket-ssl","2.044",,,
"250","cpe:/a:isc:dhcp:4.3.5","Application","isc","dhcp","4.3.5",,,
"251","cpe:/a:mutt:mutt:20170113","Application","mutt","mutt","20170113",,,
"252","cpe:/a:nginx:nginx:1.19.6","Application","nginx","nginx","1.19.6",,,
"253","cpe:/a:nongnu:dmidecode:3.0","Application","nongnu","dmidecode","3.0",,,
"254","cpe:/a:openbsd:openssh:7.4p1","Application","openbsd","openssh","7.4p1",,,
"255","cpe:/a:openssl:openssl:1.1.0l","Application","openssl","openssl","1.1.0l",,,
"256","cpe:/a:perl:perl:5.24.1","Application","perl","perl","5.24.1",,,
"257","cpe:/a:postgresql:postgresql","Application","postgresql","postgresql",,,,
"258","cpe:/a:python:python:2.7.13","Application","python","python","2.7.13",,,
"259","cpe:/a:rafael_garcia-suarez:safe:2.39","Application","rafael_garcia-suarez","safe","2.39",,,
"260","cpe:/a:sudo_project:sudo:1.8.19:p1","Application","sudo_project","sudo","1.8.19","p1",,
"261","cpe:/a:sudo_project:sudoers_file_grammar:45","Application","sudo_project","sudoers_file_grammar","45",,,
"262","cpe:/a:sudo_project:sudoers_i/o_plugin:1.8.19:p1","Application","sudo_project","sudoers_i/o_plugin","1.8.19","p1",,
"263","cpe:/a:sudo_project:sudoers_policy_plugin:1.8.19:p1","Application","sudo_project","sudoers_policy_plugin","1.8.19","p1",,
