user_id, dashboard_item_id, x, y, width, height, visible
"3381af4c-8690-496b-a086-b346e9fbc1bc","17",,,"6","2","t"
"3381af4c-8690-496b-a086-b346e9fbc1bc","10","4","0",,,"t"
"3381af4c-8690-496b-a086-b346e9fbc1bc","11","0","0",,,"t"
"d080ea8b-7957-4ad3-86ec-0959cf0a050b","11","0","0",,,"t"
"d080ea8b-7957-4ad3-86ec-0959cf0a050b","10","4","0",,,"t"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","13","6","5",,,"t"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","16","6","7",,,"t"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","17","6","10",,,"t"
"d080ea8b-7957-4ad3-86ec-0959cf0a050b","17","6","7",,,"t"
"d080ea8b-7957-4ad3-86ec-0959cf0a050b","16","0","6",,,"t"
"3107ad82-cc71-4a7e-9f4c-1585716c0191","17","6","7",,,"t"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","11","0","0",,,"t"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","14","4","0",,,"t"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","15","4","2",,,"t"
"71ca8bcb-9167-40fc-a5ec-fb229696a588","12","7","4",,,"t"